trip_id,arrival_time,departure_time,stop_id,stop_sequence,drop_off_type,pickup_type
9007-0821,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0822,07:02:00,07:02:00,paris_nord,1,1,0
9007-0822,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0824,07:02:00,07:02:00,paris_nord,1,1,0
9007-0824,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0825,07:02:00,07:02:00,paris_nord,1,1,0
9007-0825,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0826,07:02:00,07:02:00,paris_nord,1,1,0
9007-0826,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0827,07:02:00,07:02:00,paris_nord,1,1,0
9007-0827,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0828,07:02:00,07:02:00,paris_nord,1,1,0
9007-0828,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0829,07:02:00,07:02:00,paris_nord,1,1,0
9007-0829,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0901,07:02:00,07:02:00,paris_nord,1,1,0
9007-0901,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0902,07:02:00,07:02:00,paris_nord,1,1,0
9007-0902,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0903,07:02:00,07:02:00,paris_nord,1,1,0
9007-0903,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0904,07:02:00,07:02:00,paris_nord,1,1,0
9007-0904,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0905,07:02:00,07:02:00,paris_nord,1,1,0
9007-0905,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0907,07:02:00,07:02:00,paris_nord,1,1,0
9007-0907,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0908,07:02:00,07:02:00,paris_nord,1,1,0
9007-0908,09:30:00,09:30:00,st_pancras_international,2,0,1
9008-0611,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0611,11:19:00,11:19:00,paris_nord,2,0,1
9008-0612,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0612,11:19:00,11:19:00,paris_nord,2,0,1
9008-0613,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0613,11:19:00,11:19:00,paris_nord,2,0,1
9008-0614,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0614,11:19:00,11:19:00,paris_nord,2,0,1
9008-0615,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0615,11:19:00,11:19:00,paris_nord,2,0,1
9008-0616,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0616,11:19:00,11:19:00,paris_nord,2,0,1
9008-0617,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0617,11:19:00,11:19:00,paris_nord,2,0,1
9008-0618,09:01:00,09:01:00,st_pancras_international,1,1,0
